questions,intention,answer
商米目前能提供哪些支付方式,question,目前可提供聚合扫码B扫C（微信扫码和支付宝扫码）、支付宝人脸支付、银联卡刷卡。将陆续开放更多支付方式。
商米目前有哪些支付通道,question,目前商米收银管家已经接入盛付通通道，以及支付宝刷脸付官方通道。未来将接入更多其他支付通道。
商户资金如何结算,question,所有款项均由持有第三方支付牌照的机构或银行直接结算给商户。
给商户开通刷脸支付需要提交给商米什么资料？,question,商户商户需提前开通支付宝当面付。当面付开通后，请点击链接，登记《刷脸付商户登记表》：https://jinshuju.net/f/QvGMyM，由商米代签约刷脸付，签约时效一般为1~2个工作日。
刷脸付支付成功后，款项何时到账？,question,刷脸付支付成功后，支付宝扣除商户手续费，会即时将款项打入商户支付宝余额账户。
商户结算款到账时效？,question,默认到账时效为T+1日，即周五和双休日都是周一到账，如遇节假日，节假日前一天和节假日都是节假日过后一天到账。
可以申请节假日到账吗？,question,目前不支持申请。
可以申请即时到账吗？有额度限制吗？,question,即时到账服务由支付公司提供。不同的支付公司提供即时到账的方式、申请条件、收费标准、额度不同。如有需要，请咨询BD。
即时到账交易有什么限制吗？,question,需要满足交易时间8:00~23:00，交易金额大于99元，不满足条件的交易仍是T+1日结算。
T+1结算具体是T日几点结算？,question,一般是上午11点之前
商户的结算款当天能到账吗？,question,具体到账时间以商户结算银行时效为准。
退款操作有时效限制吗？,question,交易日期起的180个自然日内都能退款。
商户申请退款后，款项何时退还至客户？,question,交易日当天发起退款，一般即时到账；交易日第二天起发起退款，最晚3个工作日左右到账，具体到账时间以银行为准。部分银行退款无短信提醒功能，请客户留意查看银行流水。
商米给商户的扫码费率是多少？,question,扫码费率由服务商和商户协商后决定，一般建议0.38%~0.6%，最低可至0.27%。
进件小程序中怎么填写费率？,question,小程序目前不支持费率填写，服务商可以先告知商米一个扫码、借记卡、贷记卡的默认费率，以后有商户进件就按照这个默认费率设置，有特殊费率的商户，可以提前告知或者后续申请调整费率。
给商户的扫码费率有上限吗？,question,一般建议不超过2%。
小微商户的结算账户可以变更为他人银行卡吗？,question,小微商户仅支持法人同名银行卡结算变更。
小微商户如何修改法人同名结算卡？,question,需要提供法人同名银行卡姓名、卡号、开户行信息，《变更申请单》信息填写完整后，法人签字、签身份证号、加盖手印。
个体工商户进件时可以填写非法人结算账号吗？,question,不可以，如果需要结算至非法人账户，可以等进件成功后再做结算信息变更。
个体工商户如何修改法人同名结算卡？,question,需要提交法人同名银行卡姓名、卡号、开户行信息，《变更申请单》加盖公章，如无公章，需再填写无公章《申明书》，2份表单同时由法人签名、签身份证号、加盖手印。
个体工商户如何修改为非法人银行卡结算？,question,需要提交新结算人银行卡姓名、卡号、开户行信息，新结算人身份证正、反面彩色照片，银行卡正、反面彩色照片，双手持银行卡和身份证的半身照。《变更申请单》和《付款委托书》加盖公章，如无公章，需再填写无公章《申明书》，3份表单同时由法人签名、签身份证号、加盖手印。
企业商户如何修改公同名结算账户？,question,提交对公同名账户名称、开户行、账号信息，《变更申请单》加盖公章
企业商户如何修改法人同名银行卡结算？,question,需要提交法人同名银行卡姓名、卡号、开户行信息，《变更申请单》加盖公章
企业商户如何修改为非法人银行卡结算?,question,需要提交新结算人银行卡姓名、卡号、开户行信息，新结算人身份证正、反面彩色照片，银行卡正、反面彩色照片，双手持银行卡和身份证的半身照。《变更申请单》和《付款委托书》加盖公章。
结算信息完成变更需要多少时间？,question,资料提交齐全的情况下，盛付通会在T+1日审核。
对私结算银行卡能否使用信用卡？,question,仅支持银联借记卡。
小微商户扫码额度是多少？,question,单笔5千，单日10万
个体工商户扫码额度是多少？,question,单笔1万，单日20万
企业商户扫码额度是多少？,question,单笔5万，单日100万
商户可以做提额申请吗？,question,小微商户不支持提额。个体工商户和企业商户可提供业务场景说明，日常交易小票申请提额，最终审批额度以盛付通审核为准。
静态码牌额度是多少？,question,单笔500，单日1万。
商米收银管家是否支持公众号支付，小程序支付等线上支付方式？,question,目前尚不支持。公众号、小程序支付、H5支付，web支付，app支付等将在后续陆续上线。
盛付通支持C扫B吗？,question,仅金融P系列设备支持，且新增商户不支持微信C扫B动态码支付模式，9.15日存量商户也停止微信C扫B动态码支付模式，支付宝暂不受影响。建议商户使用微信B扫C动态码交易。
服务商怎样查询其名下商户信息和交易数据？,question,服务商可以登录其合作伙伴后台，在 “商米支付管理”下的“商户管理”中查看商户信息，在“交易管理”中查看所有商户的交易明细。
商户怎样查看交易记录和扣除的手续费明细？,question,可以登录盛付通后台：http://msp.shengpay.com，在“交易管理”-“交易查询”中查看每笔交易明细还有扣除的手续费明细。
商户可以在哪里查看款项是否已经结算？,question,可以登录盛付通后台：http://msp.shengpay.com，在“交易管理”-“商户非T0出款记录”中查看盛付通结算出款情况，到账是以商户的银行卡到账时效为准。
商户的盛付通后台账号密码是什么？,question,进件审核通过时，盛付通发送的短信中有账号和密码，账号一般为注册时提交的店主手机号，密码遗忘时刻登录盛付通后台，进行密码重置。
哪些商户可以申请蓝海绿洲？,question,有企业或者个体工商户营业执照的餐饮类商户可以申请，酒吧除外
蓝海绿洲费率是多少？,question,目前商户优惠费率为0.2%
蓝海绿洲服务商分润多少？,question,商米支付服务商的分润是0.13%
蓝海绿洲开通需要多长时间？,question,目前蓝海绿洲由盛付通代申请，资料提价齐全无误的情况下，一般需要一周左右。
蓝海绿洲商户到账时效？,question,同聚合扫码一样，T+1结算
医院、公立学校可以申请0费率吗？怎么申请？,question,先按正常流程提交进件，进件审核通过后，申请现场注册流程，最终审核结果以银联为准，一般申请周期2~3个月。具体可咨询商米运营。
哪些商户可以申请开通预授权？,question,酒店住宿、租赁类业务商户可以申请
支持微信和支付宝预授权吗？,question,不支持，目前只能开通信用卡预授权
商户的手续费发票怎么申请？,question,告知需要申请开票的商户名称和13位商户号，商米开通相关权限后会通知服务商。然后商户可以登录专业版b.shengpay.com→进入“商户中心-账户管理”→点击“开票管理”，根据页面提示填写开票所需信息，审核成功后，至“开票记录-发票信息记录”查看审核结果。
提交开票申请后的审核时长及开票周期？,question,每月1日至13日提交申请：盛付通一个工作日内审核，审核通过的申请当月可开发票；每月14日至20日提交的申请：盛付通开票时段，暂停审核；每月21日至31日提交申请：盛付通一个工作日内审核，审核通过的申请次月可开具发票。
商户发票申请成功后，多久可以收到发票？,question,纸质发票：盛付通每月23日前邮寄，如遇节假日，延后至节后的第一个工作日（注：低金额发票，一个季度邮寄一次）电子发票：盛付通每月21日前开具，发票开具后，系统会自动将发票发送至商户登记的邮箱，商户也可以在21日后登录b.shengpay.com -“开票管理”中下载发票。
服务商分润如何对账？,question,每月15~20个工作日左右，商米科技出具上月业务分润对账单，服务商可在合作伙伴后台查询。
分润费用何时能收到？,question,分润费确认无误后，服务商向商米科技开具分润费发票，商米科技收到发票后，约5个工作日打款至服务商
商户被调单时，需要提交哪些资料？,question,需要提交巡检单、服务商盖章担保函、商户营业执照、交易凭证、经营场地照片4张、法人与巡检员合照1张，商户的实际经营业务内容说明书及提供证明交易真实性的材料（pos小票、收据、合同等）
设备打印小票上的门店名称能修改吗？,question,可以修改，但是目前不支持自行修改，需要告知商米后由商米运营人员修改，修改完成后，非金融设备需要在收银台中操作“更新终端参数”，金融设备需要操作“商户初始化”。
怎么下载收银台,question,服务商可以在自己的合作伙伴后台（渠道后台）收录应用“收银台更新”，商户设备上的应用市场中就能下载，下载完成后点击就可以安装收银台。
刷脸付开通后怎么使用？,question,刷脸付审核通过后，提醒商户收到支付宝邮件或短信后去支付宝后台签约确认。下载收银台更新安装完收银台后，先在收银台中点“刷脸付款”，然后用收款的支付宝扫一下屏幕中的刷脸授权码，才能正常收款。
金融设备怎么下载收银台？,question,金融设备要告知商米来绑定商户的，绑定商户后需要T+1才能开通使用，开通后商米会推送收银台（名称：盛付通支付），无需自行下载。后续商米会推出收银台更新下载安装“盛付通支付”。
